id,batchnum,condition,case,consistency
,0,group,0,1
,0,nominal,1,1
5d6feec65f80ae21f5c5f054,0,individual,1,1
5e7e4f4c31f4e454e196c9c4,0,individual,1,1
5e8b6dd0b35db8283c501b7a,0,individual,1,0
5e84cc3c50f6e364321d6265,0,ind in groups,0,0
5e8b6dd0b35db8283c501b7a,0,ind in groups,0,1
,1,group,0,0
,1,nominal,1,0
5d482eab21c9be351f764234,1,individual,1,0
5e84cc1450f6e364321d6260,1,individual,1,0
5e84cc1450f6e364321d6260,1,ind in groups,0,1
5e8b6f06b35db8283c501ca6,1,ind in groups,0,0
,2,group,0,1
,2,nominal,1,0
5e877eb4a44a3116d9b95f15,2,individual,1,1
5e8b395036ec0e1294b35f15,2,individual,1,0
5e877eb4a44a3116d9b95f15,2,ind in groups,0,1
5e8b395036ec0e1294b35f15,2,ind in groups,0,1
5e9de67c9dc0406f898722c3,2,ind in groups,0,0
5e9de6b89dc0406f898722c6,2,ind in groups,0,1
,3,group,1,1
,3,nominal,0,0
5e9de4ec9dc0406f89872255,3,individual,0,1
5e9dec4e9dc0406f898726cd,3,individual,0,0
5e9de7589dc0406f898722cd,3,ind in groups,1,1
5e9dea789dc0406f89872547,3,ind in groups,1,1
5e9dec4e9dc0406f898726cd,3,ind in groups,1,1
,4,group,0,1
,4,nominal,1,1
5d482eab21c9be351f76415b,4,individual,1,1
5e9f0ef89dc0406f89874ecc,4,individual,1,0
5e9f0f209dc0406f89874f09,4,individual,1,1
5e9f11d29dc0406f89875089,4,individual,1,1
5e9f13589dc0406f89875291,4,individual,1,1
5e9f0ef89dc0406f89874ecc,4,ind in groups,0,0
5e9f0f209dc0406f89874f09,4,ind in groups,0,1
5e9f11d29dc0406f89875089,4,ind in groups,0,1
5e9f13589dc0406f89875291,4,ind in groups,0,1
,5,group,1,1
,5,nominal,0,0
5d482eab21c9be351f764270,5,individual,0,1
5e9f0d869dc0406f89874dc3,5,individual,0,1
5e9f0e9e9dc0406f89874e9d,5,individual,0,1
5d482eab21c9be351f764270,5,ind in groups,1,1
5e873b6646f3b80a33438e79,5,ind in groups,1,1
5e9f0b9c9dc0406f89874c96,5,ind in groups,1,1
5e9f0d869dc0406f89874dc3,5,ind in groups,1,1
5e9f0e9e9dc0406f89874e9d,5,ind in groups,1,0
,6,group,1,0
,6,nominal,0,0
5d482eab21c9be351f763f55,6,individual,0,0
5d482eab21c9be351f763fde,6,ind in groups,1,0
5d482eab21c9be351f763f55,6,ind in groups,1,1
5e9f0ac09dc0406f898749a1,6,ind in groups,1,0
5e9f0ac09dc0406f898749a2,6,ind in groups,1,1
,7,group,0,1
,7,nominal,1,1
5e9decf89dc0406f89872747,7,individual,1,0
5d482eab21c9be351f76412c,7,ind in groups,0,0
5e543e5ad1db96705ff13ef0,7,ind in groups,0,1
5e9de8489dc0406f898722ef,7,ind in groups,0,1
5e9deb229dc0406f898725e9,7,ind in groups,0,0
5e9decf89dc0406f89872747,7,ind in groups,0,1
,8,group,0,1
,8,nominal,1,1
5d482ea821c9be351f763565,8,individual,1,1
5e9f51109dc0406f8987a7e0,8,individual,1,1
5e9f53cc9dc0406f8987ac5a,8,individual,1,1
5d482ea821c9be351f763565,8,ind in groups,0,0
5e9f37529dc0406f89877680,8,ind in groups,0,1
5e9f51109dc0406f8987a7e0,8,ind in groups,0,1
5e9f53cc9dc0406f8987ac5a,8,ind in groups,0,1
,9,group,1,1
,9,nominal,0,1
5d482eaa21c9be351f763bb5,9,individual,0,1
5d482eaa21c9be351f763bb5,9,ind in groups,1,0
5d482eaa21c9be351f763c90,9,ind in groups,1,1
5d482eab21c9be351f7641ca,9,ind in groups,1,1
5e9f48469dc0406f8987976c,9,ind in groups,1,1
,10,group,1,1
,10,nominal,0,0
5e84cbb050f6e364321d6258,10,individual,0,1
5e9de7129dc0406f898722c9,10,individual,0,0
5e9f3a0e9dc0406f898777e6,10,individual,0,1
5e9f42d89dc0406f89878720,10,individual,0,1
5e84cbb050f6e364321d6258,10,ind in groups,1,1
5e9f42d89dc0406f89878720,10,ind in groups,1,1
,11,group,0,1
,11,nominal,1,1
5e9f40089dc0406f8987805e,11,individual,1,0
5e9f40129dc0406f89878121,11,individual,1,1
5e9f42069dc0406f89878581,11,individual,1,1
5e9f3dd89dc0406f89877d08,11,ind in groups,0,1
5e9f40129dc0406f89878121,11,ind in groups,0,0
,12,group,1,1
,12,nominal,0,1
5d482eab21c9be351f764150,12,individual,0,1
5e9f12369dc0406f8987514b,12,individual,0,1
5e9f36e49dc0406f8987767c,12,individual,0,1
5e9f12369dc0406f8987514b,12,ind in groups,1,1
5e9f36e49dc0406f8987767c,12,ind in groups,1,1
,13,group,0,1
,13,nominal,1,0
5e9de5329dc0406f8987225e,13,individual,1,1
5e9f0ade9dc0406f898749a7,13,individual,1,1
5e9f39d29dc0406f898777bf,13,individual,1,1
5e9de5329dc0406f8987225e,13,ind in groups,0,1
5e9f35ea9dc0406f89877613,13,ind in groups,0,1
5e9f39d29dc0406f898777bf,13,ind in groups,0,1
,14,group,0,1
,14,nominal,1,0
5e8b38f636ec0e1294b35f12,14,individual,1,1
5e9f35fe9dc0406f89877614,14,individual,1,0
5e9f36309dc0406f89877619,14,individual,1,0
5e8b38f636ec0e1294b35f12,14,ind in groups,0,1
