"","id","batchnum","condition","case","consistency","Segment"
"1","",0,"group",0,1,"Before"
"2","",0,"nominal",1,1,"Before"
"3","5d482ea421c9be351f762255",0,"individual",1,1,"Before"
"4","5d6feec65f80ae21f5c5f054",0,"individual",1,1,"Before"
"5","5e31d6e4e31c5304c46f1413",0,"individual",1,1,"Before"
"6","5e7e4f4c31f4e454e196c9c4",0,"individual",1,1,"Before"
"7","5e84cc3c50f6e364321d6265",0,"individual",1,1,"Before"
"8","5e8b6dd0b35db8283c501b7a",0,"individual",1,0,"Before"
"9","5d482ea421c9be351f762255",0,"ind in groups",0,1,"Before"
"10","5d6feec65f80ae21f5c5f054",0,"ind in groups",0,0,"Before"
"11","5e31d6e4e31c5304c46f1413",0,"ind in groups",0,1,"Before"
"12","5e7e4f4c31f4e454e196c9c4",0,"ind in groups",0,0,"Before"
"13","5e84cc3c50f6e364321d6265",0,"ind in groups",0,0,"Before"
"14","5e8b6dd0b35db8283c501b7a",0,"ind in groups",0,1,"Before"
"15","",1,"group",0,0,"Before"
"16","",1,"nominal",1,1,"Before"
"17","5e84cc1450f6e364321d6260",1,"individual",1,1,"Before"
"18","5e9de4c49dc0406f8987224f",1,"individual",1,0,"Before"
"19","5e9de4e29dc0406f89872254",1,"individual",1,0,"Before"
"20","5e9de5be9dc0406f8987226c",1,"individual",1,1,"Before"
"21","5e84cc1450f6e364321d6260",1,"ind in groups",0,1,"Before"
"22","5e8b6f06b35db8283c501ca6",1,"ind in groups",0,0,"Before"
"23","5e9de4c49dc0406f8987224f",1,"ind in groups",0,1,"Before"
"24","5e9de4e29dc0406f89872254",1,"ind in groups",0,1,"Before"
"25","5e9de5be9dc0406f8987226c",1,"ind in groups",0,0,"Before"
"26","",2,"group",0,1,"Before"
"27","",2,"nominal",1,1,"Before"
"28","5e31d69ee31c5304c46f13ef",2,"individual",1,0,"Before"
"29","5e877eb4a44a3116d9b95f15",2,"individual",1,1,"Before"
"30","5e8b395036ec0e1294b35f15",2,"individual",1,0,"Before"
"31","5e9de67c9dc0406f898722c3",2,"individual",1,1,"Before"
"32","5e9de6b89dc0406f898722c6",2,"individual",1,1,"Before"
"33","5e877eb4a44a3116d9b95f15",2,"ind in groups",0,1,"Before"
"34","5e8b395036ec0e1294b35f15",2,"ind in groups",0,1,"Before"
"35","5e9de67c9dc0406f898722c3",2,"ind in groups",0,0,"Before"
"36","5e9de6b89dc0406f898722c6",2,"ind in groups",0,0,"Before"
"37","",3,"group",1,1,"Before"
"38","",3,"nominal",0,0,"Before"
"39","5e84cfe850f6e364321d63bf",3,"individual",0,0,"Before"
"40","5e9de4ce9dc0406f89872251",3,"individual",0,0,"Before"
"41","5e9de4ce9dc0406f89872253",3,"individual",0,0,"Before"
"42","5e9de4ec9dc0406f89872255",3,"individual",0,1,"Before"
"43","5e9de7589dc0406f898722cd",3,"individual",0,1,"Before"
"44","5e9dea789dc0406f89872547",3,"individual",0,1,"Before"
"45","5e9dec4e9dc0406f898726cd",3,"individual",0,0,"Before"
